Date,GDX,GLD,IVV,KBE,QQQ,SPY,VDE,VGT,XLE,XLF
2020-01-02,40709100,7733800,4070500,1005900,30969400,59151200,407800,11320800,23889400,28843300
2020-01-03,47399500,12272800,4290400,842300,27518900,77709700,468800,13059200,59005800,51363600
2020-01-06,45483100,14403300,4212000,1481000,21655300,55653900,779100,4199200,44916200,27956100
2020-01-07,39181100,7978500,3632500,1217500,22139300,40496400,352400,3097600,22925000,39627500
2020-01-08,94319100,22248500,3912100,3871200,26397300,68296000,420100,4972000,38042800,47966600
2020-01-09,60554600,10292300,2964600,1572900,23547000,48473300,482100,4615200,30733600,27705300
2020-01-10,38632800,6183300,3494600,1565100,21898500,53029300,432200,4835200,18302400,33458200
2020-01-13,48710300,7593800,3588100,1339200,22756900,47086800,354900,4740800,17557000,27542700
2020-01-14,56949000,6589700,4298700,1600000,24418100,62832800,493000,7724800,34678000,37575400
2020-01-15,50472900,6510000,4405100,1595600,25742100,72056600,271200,5982400,21661600,41457300
2020-01-16,37967100,6069100,5493100,1878100,18805000,54050300,605700,4518400,16449000,34444000
2020-01-17,43853800,11121100,4982400,1103700,24325200,95846000,321300,4333600,23818200,38819400
2020-01-21,48096900,6086100,5892400,1068500,21146300,77742400,1029800,5878400,34709200,41276500
2020-01-22,21333700,4778200,4182400,1190600,20736400,48914900,756100,6104000,29355400,27391000
2020-01-23,41346600,8419800,7454900,1743900,26496100,51963000,651000,3712800,26556000,43072300
2020-01-24,44497000,9919900,4793500,3860300,37436500,87578400,619200,6326400,40781200,58924900
2020-01-27,38199300,9988100,6552900,1650000,42264400,84062500,950500,8578400,43365000,50289300
2020-01-28,55735200,7543100,5559200,1365000,26731900,63834000,547700,4979200,28600200,34257900
2020-01-29,37940100,5013100,3372400,1011200,28924500,53888900,760100,5184000,27490800,41167500
2020-01-30,39866800,9119500,4084500,1824700,39568100,75491800,2028300,4530400,48861000,51210000
2020-01-31,41986200,14788300,6354000,2831200,52015800,113845600,927600,7536800,66861000,58958800
2020-02-03,42344300,9105300,3119700,1956500,25408600,69083000,858800,7798400,42578400,40168200
2020-02-04,62983500,10525600,3636300,2781700,30691200,62573200,611400,6640800,39639600,79273300
2020-02-05,41433700,6160700,4106100,1578000,38534800,65951100,519900,6062400,68764000,51086900
2020-02-06,37356800,4819800,4442600,974500,22467100,50359700,552500,4151200,30801200,37044400
2020-02-07,40445600,6379300,4679900,1026800,25884900,64139400,432500,4628800,27386600,27982500
2020-02-10,34717200,5793600,3614300,877900,21478900,42070000,466500,4400800,29281200,17723700
2020-02-11,24591700,5179400,5850800,1157400,30198000,54864500,488800,4290400,27689200,27997400
2020-02-12,33312700,5040600,5473300,726900,24471300,43992700,1929700,4111200,34399600,26964200
2020-02-13,29937400,7082100,7908300,1378700,22773200,54501900,955300,4100000,23949800,22758700
2020-02-14,22888600,5345400,6510600,962000,23438500,64582200,515800,3859200,25040000,22080200
2020-02-18,64678400,11524900,3566600,1443300,24394500,57226200,556000,5774400,32629400,37768900
2020-02-19,45467500,9269800,2678800,1240300,22230500,48814700,312700,5274400,24910800,25643300
2020-02-20,52313900,8457300,3567700,1644500,42604000,74163400,487800,6850400,26101600,50344300
2020-02-21,76564200,16344500,4323700,2224200,66017200,113788200,493600,9121600,27616400,51128200
2020-02-24,87112400,27171000,7492100,2093900,84522600,161088400,2002000,15647200,66075000,70455400
2020-02-25,91165500,28091500,12100900,3527400,97743000,218913200,1089500,14342400,85674600,111826900
2020-02-26,49317800,17912500,11655100,6872300,79537700,194773800,1314700,14311200,97656600,95015700
2020-02-27,125123900,27878500,11340100,5270400,121822600,284353500,1911600,20147200,122557400,143536200
2020-02-28,166814200,42699600,19515300,5842100,148173700,384975800,3583400,28288000,137511600,192063500
2020-03-02,83762400,16295400,11780800,2681200,112933900,238703600,3030800,17408000,73285400,127115500
2020-03-03,130291500,28687700,12910300,5187300,131953500,300139100,1418100,16729600,97190600,256525000
2020-03-04,55030300,12315500,7188600,4296900,73086200,176613400,989100,7608800,48969000,124408000
2020-03-05,68343800,17973500,6506600,3077800,78705500,186366800,1227600,7584800,58774600,130265700
2020-03-06,81228000,26973400,9896200,2943200,89828400,228667200,2054000,13494400,123034800,160606600
2020-03-09,87651700,24868700,14676500,3679500,116424000,309417300,5234700,20152800,133113800,134165700
2020-03-10,82748700,18811500,14213300,2595200,100599200,276444100,2713200,24196800,96862200,149282300
2020-03-11,119428500,18159900,9984000,4878800,89168800,255316300,2673600,12639200,86954600,146915400
2020-03-12,106328100,32893400,22444700,3233000,137820700,392220700,2968100,27701600,77658200,161437500
2020-03-13,195650900,35177200,24915800,4937400,134882000,329566100,2498500,16578400,68196800,160945700
2020-03-16,199906300,24496000,18004600,4036800,92054400,297240000,1694600,15118400,80467200,110661600
2020-03-17,119759900,24490300,18140900,3265600,121257100,262070500,1254400,12671200,90887200,122295100
2020-03-18,198033900,21953400,22014200,3204500,114156300,327597100,3035400,30476000,104271600,145056400
2020-03-19,103179000,20828900,18324900,4916500,120896500,289322000,2788800,10612800,104453000,105652800
2020-03-20,68320700,20056000,12619800,6410000,118983900,347158800,2048200,12592000,116714400,157840900
2020-03-23,93812100,28275200,14473200,5157800,124639800,326025200,2503800,13808000,96520400,144547900
2020-03-24,127861300,20743500,12474400,3735900,94881800,235494500,2284200,12481600,89022200,158551100
2020-03-25,102594400,16457200,11938200,5588600,88754900,299430300,2084800,14562400,104869800,162949600
2020-03-26,47458000,12778200,15886800,4370300,79887600,257632800,2086100,13282400,93836200,129753900
2020-03-27,94471000,9824600,9514700,3811100,58845000,224341200,2749100,11522400,73056800,109305600
2020-03-30,63038600,12080900,9539800,2146900,49356900,171369500,4262800,12260800,84254800,67297200
2020-03-31,45113700,13319500,9561000,1621400,62659300,194881100,2265800,11804000,68701200,83819900
2020-04-01,33900200,11827400,13680800,2427700,53715400,189554600,1531300,9640000,47653000,79185000
2020-04-02,39859300,9188300,7510800,1954200,56465300,177660400,2156300,6090400,146256200,68398300
